name,lambert_x,lambert_y
Oberweng,477406.7861252369,420913.59045724757
Goslitz,478654.6636346218,420930.3205567207
Wirtshaus Schrofler,477406.7861252369,420913.59045724757
Pramfeld,477406.7861252369,420913.59045724757
Wurberg,475419.7774760768,420238.7508427324
Sonntagskogelhütte,493664.70734393806,419298.54658838175
Pölzmauer,493664.70734393806,419298.54658838175
Alpsteig,493664.70734393806,419298.54658838175
Kreuzmauer,492416.479630694,419278.5983130522
Kälberleiten,491167.49842901307,419258.90593044553
Melklucke,489918.5130314138,419239.48149558995
Seisenalm,491167.49842901307,419258.90593044553
Admonter Höhe,491167.49842901307,419258.90593044553
Funklalm,489918.5130314138,419239.48149558995
Schoberer Alm,489918.5130314138,419239.48149558995
Hinterpölzenbach,488670.27274048235,419220.3364206506
Schölleralm,489918.5130314138,419239.48149558995
Angerergraben,488670.27274048235,419220.3364206506
Jägerberg,488670.27274048235,419220.3364206506
Pölzalmbach,488642.0427660329,421073.8615131825
Gjad,488670.27274048235,419220.3364206506
Pölzalm,488670.27274048235,419220.3364206506
Großschoberbaueralm,487421.2791259291,419201.44772322755
Knappengraben,487421.2791259291,419201.44772322755
Steinkogel,486172.2814878748,419182.82697620057
Veitlbaueralm,486172.2814878748,419182.82697620057
Rauchschoberhütte,486172.2814878748,419182.82697620057
Hinterkar,484924.0291360931,419164.48510957975
Halterkogel,484924.0291360931,419164.48510957975
Schlapfenkar,484924.0291360931,419164.48510957975
Buglkar,483675.0236258166,419146.4001051625
Langstein,483675.0236258166,419146.4001051625
Schafplan,482426.01426445803,419128.5830536736
Laglalm,482426.01426445803,419128.5830536736
Laglkar,482426.01426445803,419128.5830536736
Eiskar,481177.75036866905,419111.04440296534
Laglmauer,481177.75036866905,419111.04440296534
Winkler Kar,481177.75036866905,419111.04440296534
Holzeralm,479162.0549972784,418876.30892938003
Gowilalmhütte,479928.73347982415,419093.76309904084
Kampleck,478387.7234801336,418833.5613821894
Schmeißlreith,478599.6529454706,419344.9635714106
Finstertal,478468.1545231297,418593.16948507447
Sonnleitner Reith,477243.6829087693,419711.83888251614
Hochbrandner,476746.36672817764,419410.3731317166
Mausmayr,476119.99583549926,419231.8936095908
Berghansl,475945.34528055816,418660.98047313374
Hubenbaueralm,493694.54527263506,417443.93535465654
Piermauer,492445.91992264433,417423.9807245843
Haselbachalm,491196.5408441847,417404.2820687508
Laberkar,491196.5408441847,417404.2820687508
Heumauern,491196.5408441847,417404.2820687508
Laberkarsattel,489947.15756847,417384.851446026
Lahnerkogel,491196.5408441847,417404.2820687508
Dirndlmauer,489947.15756847,417384.851446026
Hochturm,489947.15756847,417384.851446026
Menggalm,488698.51963678515,417365.7002722118
Klapfboden,488698.51963678515,417365.7002722118
Kleiner Seeboden,488698.51963678515,417365.7002722118
Waldzipf,487449.1281414989,417346.8055575853
Rauchmauer,487449.1281414989,417346.8055575853
Seebodenhütte,488698.51963678515,417365.7002722118
Müllneralmgraben,487449.1281414989,417346.8055575853
Müllneralm,487449.1281414989,417346.8055575853
Roßkar,486199.73262142984,417328.1788787134
Bärenkar,486199.73262142984,417328.1788787134
Freithofmauer,486199.73262142984,417328.1788787134
